Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Random undersampling (RUS),U-KNN,PBC,24,0.8503 ± 0.0403,0.8134 ± 0.0508,0.8238 ± 0.0502,0.8148 ± 0.0477,25
Random undersampling (RUS),U-KNN,SN,24,0.8054 ± 0.0503,0.7552 ± 0.0706,0.7501 ± 0.0724,0.7498 ± 0.0695,25
Random undersampling (RUS),U-LR,ATTD & PBC & SN,32,0.8387 ± 0.0356,0.7986 ± 0.0400,0.8356 ± 0.0464,0.8091 ± 0.0413,25
Random undersampling (RUS),U-LR,ATTD & PBC,28,0.8251 ± 0.0422,0.7851 ± 0.0449,0.8223 ± 0.0474,0.7948 ± 0.0463,25
Random undersampling (RUS),U-LR,ATTD & SN,28,0.8301 ± 0.0374,0.7896 ± 0.0420,0.8254 ± 0.0498,0.7988 ± 0.0452,25
Random undersampling (RUS),U-LR,PBC & SN,28,0.8442 ± 0.0335,0.8060 ± 0.0334,0.8502 ± 0.0390,0.8181 ± 0.0362,25
Random undersampling (RUS),U-LR,ATTD,24,0.7890 ± 0.0405,0.7463 ± 0.0407,0.7841 ± 0.0470,0.7548 ± 0.0440,25
Random undersampling (RUS),U-LR,PBC,24,0.8203 ± 0.0401,0.7797 ± 0.0426,0.8184 ± 0.0447,0.7899 ± 0.0437,25
Random undersampling (RUS),U-LR,SN,24,0.8110 ± 0.0455,0.7704 ± 0.0457,0.8065 ± 0.0542,0.7781 ± 0.0518,25
Random undersampling (RUS),U-NB,ATTD & PBC & SN,32,0.8749 ± 0.0256,0.8446 ± 0.0332,0.8435 ± 0.0415,0.8410 ± 0.0345,25
Random undersampling (RUS),U-NB,ATTD & PBC,28,0.8620 ± 0.0305,0.8276 ± 0.0396,0.8275 ± 0.0457,0.8250 ± 0.0407,25
Random undersampling (RUS),U-NB,ATTD & SN,28,0.8570 ± 0.0343,0.8251 ± 0.0449,0.8142 ± 0.0491,0.8159 ± 0.0456,25
Random undersampling (RUS),U-NB,PBC & SN,28,0.8589 ± 0.0290,0.8247 ± 0.0389,0.8232 ± 0.0454,0.8207 ± 0.0392,25
Random undersampling (RUS),U-NB,ATTD,24,0.8411 ± 0.0372,0.8026 ± 0.0484,0.7983 ± 0.0503,0.7975 ± 0.0482,25
Random undersampling (RUS),U-NB,PBC,24,0.8552 ± 0.0363,0.8186 ± 0.0482,0.8215 ± 0.0495,0.8176 ± 0.0466,25
Random undersampling (RUS),U-NB,SN,24,0.8288 ± 0.0416,0.7889 ± 0.0546,0.7802 ± 0.0508,0.7813 ± 0.0502,25
Random undersampling (RUS),U-RF,ATTD & PBC & SN,32,0.8663 ± 0.0215,0.8284 ± 0.0245,0.8654 ± 0.0247,0.8407 ± 0.0238,25
